size,mpi,threads,time
10000,2,1,24.799596
10000,2,1,24.347258
10000,2,1,24.292290
10000,2,1,24.284715
10000,2,1,24.345847
10000,2,2,12.572867
10000,2,2,12.514824
10000,2,2,12.567525
10000,2,2,12.505019
10000,2,2,12.516348
10000,2,3,8.602935
10000,2,3,8.635425
10000,2,3,8.604103
10000,2,3,8.605351
10000,2,3,8.570391
10000,2,4,6.657799
10000,2,4,6.628183
10000,2,4,6.697424
10000,2,4,6.654835
10000,2,4,6.618210
10000,2,5,5.453483
10000,2,5,5.466918
10000,2,5,5.505427
10000,2,5,5.511618
10000,2,5,5.506818
10000,2,6,4.652730
10000,2,6,4.674624
10000,2,6,4.695966
10000,2,6,4.692812
10000,2,6,4.696429
10000,2,7,4.083581
10000,2,7,4.135280
10000,2,7,4.107191
10000,2,7,4.081827
10000,2,7,4.115783
10000,2,8,3.718023
10000,2,8,3.647540
10000,2,8,3.638963
10000,2,8,3.673724
10000,2,8,3.651095
10000,2,9,3.326664
10000,2,9,3.349638
10000,2,9,3.342905
10000,2,9,3.360567
10000,2,9,3.349966
10000,2,10,3.062820
10000,2,10,3.059911
10000,2,10,3.067361
10000,2,10,3.066581
10000,2,10,3.077148
10000,2,11,2.880592
10000,2,11,2.889954
10000,2,11,2.870733
10000,2,11,2.859116
10000,2,11,2.861400
10000,2,12,2.702912
10000,2,12,2.697795
10000,2,12,2.689950
10000,2,12,2.685086
10000,2,12,2.694249
